IDENTIFIERS,,,,,TRIAD VARIABLE,INDIVIDUAL I.V.s: P1,,,INDIVIDUAL I.V.: P2,DYAD I.V.s: SYMMETRICAL,,,DYAD I.V.: ASSYMETRICAL,D.V.s: PRISONER'S DILEMMA PLAY,,D.V.s: WARMTH & COMPETENCE RATINGS,,,
original sort order,triad,code letters of P1 & P2,chairs of P1 & P2,P1 ID#,Sex,P1 childhood zip code income,P1 primary psychopathy,P1 secondary psychopathy,P2 facial attractiveness,cultural style similarity,language style matching score,common ground discovered,P2 interrupts P1,P1 PD toward P2,P2 PD toward P1,P1 rates P2's warmth,P1 rates P2's competence,P2 rates P1's warmth,P2 rates P1's competence
6,1,CB,LC,92115854,1,1.47,-1.23,-0.66,-0.67,0.50,0.78,0,0.24,1,1,1.11,0.99,-1.72,-1.67
5,1,BC,CL,92183852,1,1.12,-0.07,-0.77,-1.72,0.50,0.78,0,0.24,1,1,-1.72,-1.67,1.11,0.99
4,1,CA,LR,92115854,1,1.47,-1.23,-0.66,-0.77,-0.83,0.83,0,0.00,1,0,1.05,1.05,-1.08,0.78
3,1,AC,RL,92124617,1,-1.35,1.00,0.80,-1.72,-0.83,0.83,0,0.24,0,1,-1.08,0.78,1.05,1.05
2,1,BA,CR,92183852,1,1.12,-0.07,-0.77,-0.77,-0.75,0.84,0,0.24,1,0,-1.35,-0.91,1.16,1.16
1,1,AB,RC,92124617,1,-1.35,1.00,0.80,-0.67,-0.75,0.84,0,0.72,0,1,1.16,1.16,-1.35,-0.91
9,2,AC,LC,13277691,1,0.50,-0.58,-1.15,-1.30,1.47,0.84,0,0.28,1,0,0.31,0.12,0.84,0.78
10,2,CA,CL,92138849,1,-0.62,0.08,-0.41,1.18,1.47,0.84,0,0.83,0,1,0.84,0.78,0.31,0.12
7,2,AB,LR,13277691,1,0.50,-0.58,-1.15,1.43,0.67,0.87,1,0.55,1,1,-0.01,0.61,-0.33,0.99
8,2,BA,RL,92175837,1,-0.53,-0.32,-1.63,1.18,0.67,0.87,1,0.00,1,1,-0.33,0.99,-0.01,0.61
12,2,CB,CR,92138849,1,-0.62,0.08,-0.41,1.43,1.74,0.83,0,0.55,0,1,1.11,1.10,1.16,0.34
11,2,BC,RC,92175837,1,-0.53,-0.32,-1.63,-1.30,1.74,0.83,0,0.55,1,0,1.16,0.34,1.11,1.10
13,3,AB,LC,92146017,0,-0.39,-0.97,0.56,-1.22,0.67,0.79,0,0.87,0,0,0.47,-0.15,-0.55,-1.02
14,3,BA,CL,92192148,0,,2.44,0.32,1.07,0.67,0.79,0,0.29,0,0,-0.55,-1.02,0.47,-0.15
15,3,AC,LR,92146017,0,-0.39,-0.97,0.56,-0.95,-0.57,0.75,1,0.58,0,1,-0.65,-1.07,0.15,-1.18
16,3,CA,RL,92125216,0,1.57,-0.18,-0.17,1.07,-0.57,0.75,1,0.00,1,0,0.15,-1.18,-0.65,-1.07
